"Title","Genre","Year","Rating","Duration","Director","Status","Language","Description"
"Guardians of the Galaxy","Action","2014","8.1","121","James Gunn","Watchlist","","A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe."
"Prometheus","Sci-Fi","2012","7.0","124","Ridley Scott","Watched","","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
"Split","Horror","2016","7.3","117","M. Night Shyamalan","Watchlist","","Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"Sing","Comedy","2016","7.2","108","Christophe Lourdelet","Watchlist","","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
"Suicide Squad","Action","2016","6.2","123","David Ayer","Watched","","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
"The Great Wall","Action","2016","6.1","103","Yimou Zhang","Watched","","European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures."
"La La Land","Comedy","2016","8.3","128","Damien Chazelle","Watched","","A jazz pianist falls for an aspiring actress in Los Angeles."
"Mindhorn","Comedy","2016","6.4","89","Sean Foley","Watchlist","","A has-been actor best known for playing the title character in the 1980s detective series 'Mindhorn' must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person."
"The Lost City of Z","Action","2016","7.1","141","James Gray","Watched","","A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s."
"Passengers","Drama","2016","7.0","116","Morten Tyldum","Watched","","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
"Fantastic Beasts and Where to Find Them","Fantasy","2016","7.5","133","David Yates","Watched","","The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."
